urls,event_id,shape
http://www.mufoncms.com/files_jeud8334j/7830_submitter_file1__2.png,7830,Square
http://www.mufoncms.com/files_jeud8334j/7820_submitter_file1__colorado108.jpg,7820,Cigar
http://www.mufoncms.com/files_jeud8334j/7819_submitter_file1__ufopic2007(2).jpg,7819,Sphere
http://www.mufoncms.com/files_jeud8334j/7810_submitter_file1__Image051.jpg,7810,Cone
http://www.mufoncms.com/files_jeud8334j/7809_submitter_file1__Image028.jpg,7809,Cone
http://www.mufoncms.com/files_jeud8334j/7807_submitter_file1__Image000.jpg,7807,Circle
http://www.mufoncms.com/files_jeud8334j/15657_submitter_file1__DSCF1445.JPG,15657,Bullet
http://www.mufoncms.com/files_jeud8334j/15655_submitter_file1__DSCF1228.JPG,15655,Unknown
http://www.mufoncms.com/files_jeud8334j/15653_submitter_file1__DSCF1338.JPG,15653,Bullet
http://www.mufoncms.com/files_jeud8334j/15651_submitter_file1__DSCF1445.JPG,15651,Bullet
http://www.mufoncms.com/files_jeud8334j/15650_submitter_file1__stcharles.jpg,15650,Unknown
http://www.mufoncms.com/files_jeud8334j/15649_submitter_file1__whitetriangle.jpg,15649,Triangle
http://www.mufoncms.com/files_jeud8334j/15647_submitter_file1__rendering_vessel_sighted_over_fort_smith_arkansas.jpg,15647,Triangle
http://www.mufoncms.com/files_jeud8334j/15644_submitter_file3__104_25230.JPG,15644,Circle
http://www.mufoncms.com/files_jeud8334j/15642_submitter_file1__scan0001.jpg,15642,Disc
http://www.mufoncms.com/files_jeud8334j/15640_submitter_file1__DSCF0974.JPG,15640,Bullet
http://www.mufoncms.com/files_jeud8334j/15633_submitter_file1__SIDEBRNS.JPG,15633,Sphere
http://www.mufoncms.com/files_jeud8334j/15630_submitter_file1__stars.jpg,15630,Circle
http://www.mufoncms.com/files_jeud8334j/15627_submitter_file1__feb20thUFO.jpg,15627,Circle
http://www.mufoncms.com/files_jeud8334j/15626_submitter_file1__CIMG1827.JPG,15626,Bullet
http://www.mufoncms.com/files/60606_submitter_file1__UFOsEnkhuizen95Sketch.jpg,60606,Triangle
http://www.mufoncms.com/files/60604_submitter_file1__2014010217071312.jpg,60604,Cylinder
http://www.mufoncms.com/files_jeud8334j/60603_submitter_file1__ufo1.jpg,60603,Oval
http://www.mufoncms.com/files_jeud8334j/60598_submitter_file1__349661397688327094583557387n.jpg,60598,Boomerang
http://www.mufoncms.com/files_jeud8334j/60589_submitter_file1__Shade31.JPG,60589,Cigar
http://www.mufoncms.com/files/60584_submitter_file1__image.jpg,60584,Unknown
http://www.mufoncms.com/files_jeud8334j/4282_submitter_file2__ufojan1220060638.bmp,4282,Triangle
http://www.mufoncms.com/files_jeud8334j/4278_submitter_file1__Strangeobject.bmp,4278,Fireball
http://www.mufoncms.com/files_jeud8334j/4276_submitter_file1__HP_PAVILION-0.jpg,4276,Sphere
http://www.mufoncms.com/files_jeud8334j/4269_submitter_file1__Floyd_Anim_Shot_1.jpg,4269,Other
http://www.mufoncms.com/files_jeud8334j/4266_submitter_file1__1-5-2006LookingWestonDouglasRdApprox11AM.jpg,4266,
http://www.mufoncms.com/files_jeud8334j/4258_submitter_file1__ufo.jpg,4258,Disc
http://www.mufoncms.com/files_jeud8334j/4256_submitter_file1__alien1.jpg,4256,Other
http://www.mufoncms.com/files_jeud8334j/4254_submitter_file1__1.JPG,4254,Disc
http://www.mufoncms.com/files_jeud8334j/27619_submitter_file1__harleyUFO.jpg,27619,Oval
http://www.mufoncms.com/files_jeud8334j/27610_submitter_file1__IMG_1733.JPG,27610,Unknown
http://www.mufoncms.com/files_jeud8334j/27597_submitter_file2__IMG_0119.JPG,27597,Unknown
http://www.mufoncms.com/files_jeud8334j/77834_submitter_file5__20160715193122.jpg,77834,Circle
http://www.mufoncms.com/files_jeud8334j/77829_submitter_file1__Scan.jpg,77829,Diamond
http://www.mufoncms.com/files_jeud8334j/77828_submitter_file1__Copyofsundaynight009.jpg,77828,Chevron
http://www.mufoncms.com/files_jeud8334j/77825_submitter_file1__20160720195451.jpg,77825,Disc
http://www.mufoncms.com/files_jeud8334j/77823_submitter_file1__image.jpeg,77823,Disc
http://www.mufoncms.com/files_jeud8334j/77821_submitter_file1__IMG20160721092222.jpg,77821,Other
http://www.mufoncms.com/files_jeud8334j/77811_submitter_file1__20160710133304.jpg,77811,Cylinder
http://www.mufoncms.com/files_jeud8334j/77810_submitter_file1__20151230212551resized11.jpg,77810,Sphere
http://www.mufoncms.com/files_jeud8334j/77809_submitter_file1__20151230212551resized11.jpg,77809,Sphere
http://www.mufoncms.com/files_jeud8334j/77807_submitter_file1__201402101725360.jpg,77807,Oval
http://www.mufoncms.com/files_jeud8334j/90269_submitter_file1__PIC1isawgreenlightloweringneedszoomedin.jpg,90269,Star-like
http://www.mufoncms.com/files_jeud8334j/90266_submitter_file1__UFO.JPG,90266,Star-like
http://www.mufoncms.com/files_jeud8334j/90264_submitter_file1__fountainhills.jpg,90264,Sphere
http://www.mufoncms.com/files_jeud8334j/90251_submitter_file1__Screenshot20180215201434.jpg,90251,Saturn-like
http://www.mufoncms.com/files_jeud8334j/90239_submitter_file1__ScreenShot20180214at7.42.47PM.png,90239,Disc
http://www.mufoncms.com/files_jeud8334j/73398_submitter_file1__IMG0126.JPG,73398,Diamond
http://www.mufoncms.com/files_jeud8334j/73393_submitter_file1__IMG20151227164354707.jpg,73393,Bullet
http://www.mufoncms.com/files_jeud8334j/73390_submitter_file1__IMG6686.JPG,73390,Sphere
http://www.mufoncms.com/files_jeud8334j/73375_submitter_file1__UFO91215.jpg,73375,Cylinder
http://www.mufoncms.com/files_jeud8334j/73374_submitter_file1__UFOoverLakePontchartrain.jpg,73374,Circle
http://www.mufoncms.com/files_jeud8334j/73372_submitter_file1__20151129060046.jpg,73372,Disc
http://www.mufoncms.com/files_jeud8334j/88069_submitter_file1__OperaSnapshot20171116115149www.google.com.png,88069,Square
