,reported_on,sighted_on,description,duration,municipality,state,country,latitude,longitude,shape,url,caption,object
47789,2013-06-02 04:31:00,2013-05-26 17:05:00,Viewing Distance 501 Feet - 1 Mile,0 days 00:05:00.000000000, Spruce Grove,, Canada, 53.54650, -113.89228, Circle,,,
47790,2013-06-02 05:09:00,1989-06-03 07:00:00,Viewing Distance 20 Feet or Less,, Mankato,, United States, 44.15583, -93.98376,,,,
47791,2013-06-02 06:07:00,2013-06-02 05:30:00,Viewing Distance 501 Feet - 1 Mile,, Pittsburgh,, United States, 40.45493, -79.86000,,,,
47792,2013-06-02 06:49:00,2013-06-02 05:25:00,Viewing Distance Unknown,, Appleton,, United States, 44.24316, -88.41012,,,,
47793,2013-06-02 06:50:00,2013-06-02 05:15:00,"Viewing Distance 501 Feet - 1 Mile, Unknown",, St. Clair,, United States, 40.72148, -76.19208,,,,
47794,2013-06-02 06:55:00,2013-06-02 02:30:00,Viewing Distance Unknown,, Las Vegas,, United States, 36.19604, -115.26025,,,,
47795,2013-06-02 07:06:00,1993-04-15 07:00:00,Viewing Distance 501 Feet - 1 Mile,0 days 00:05:05.000000000, Oklahoma,, 35.01589, -97.08979,, Sphere,,,
47796,2013-06-02 07:56:00,2013-06-02 04:29:00,"Viewing Distance Over 1 Mile, Unknown",, Sarnia,, Canada, 42.97454, -82.40659,,,,
47797,2013-06-02 07:58:00,2013-06-02 06:20:00,Viewing Distance Unknown,, Independence,, United States, 39.04702, -94.40253,,,,
47798,2013-06-02 08:03:00,2008-10-03 06:45:00,Viewing Distance 20 Feet or Less,0 days 02:12:07.000000000, Hawaii,, 19.90060, -155.57917,, Flash,,,
47799,2013-06-02 08:07:00,2013-05-31 07:00:00,"Viewing Distance Over 1 Mile, N/A",, Buffalo,, United States, 45.17851, -93.85820,,,,
47800,2013-06-02 08:40:00,2012-08-24 07:00:00,"Viewing Distance 501 Feet - 1 Mile, Over 1 Mile, Unknown",0 days 00:02:00.000000000, Bremerton,, United States, 47.57497, -122.62398, Unknown,,,
47801,2013-06-02 10:26:00,2013-06-02 09:45:00,Viewing Distance Over One Mile,, Hopkinton,, United States, 43.19139, -71.67583,,,,
47802,2013-06-02 10:27:00,2013-05-18 18:45:00,Viewing Distance Unknown,, Albuquerque,, United States, 35.10059, -106.63847,,,,
47803,2013-06-02 12:09:00,2013-05-19 22:33:00,Viewing Distance 501 Feet - 1 Mile,, Tustin,, United States, 33.74535, -117.80536,,,,
47804,2013-06-02 16:40:00,2013-06-02 06:00:00,Viewing Distance Unknown,, Alabaster,, United States, 33.18049, -86.80695,,,,
47805,2013-06-02 17:31:00,2013-06-02 06:01:00,Viewing Distance Unknown,, Hebron,, United States, 39.11659, -84.70851,,,,
47806,2013-06-02 21:49:00,2013-05-31 03:15:00,Viewing Distance Over One Mile,0 days 00:02:00.000000000, Amesbury,, United Kingdom, 51.15873, -1.75989, Star-like,,,
47807,2013-06-02 23:54:00,2013-05-31 07:00:00,Viewing Distance Over One Mile,, Verona,, United States, 40.49291, -79.85573,,,,
47808,2013-06-03 00:35:00,2013-06-02 07:00:00,Viewing Distance Unknown,, New York,, United States, 40.82841, -73.94916,,,,
47809,2013-06-03 01:49:00,2013-06-02 05:20:00,"Viewing Distance 501 Feet - 1 Mile, Unknown",, Mohave Valley,, United States, 34.91744, -114.62734,,,,
47810,2013-06-03 02:45:00,2013-06-02 07:00:00,Viewing Distance 501 Feet - 1 Mile,, Lexington,, United States, 40.77944, -99.74389,,,,
47811,2013-06-03 06:07:00,1988-06-13 04:00:00,Viewing Distance 20 Feet or Less,0 days 05:00:00.000000000, Norman,, United States, 35.22669, -97.43544, Unknown,,,
47812,2013-06-03 06:22:00,2013-06-03 03:05:00,Viewing Distance Unknown,0 days 00:15:00.000000000, Denver,, United States, 39.74383, -104.98364, Teardrop,,,
47813,2013-06-03 06:56:00,2013-06-02 23:05:00,Viewing Distance Over One Mile,0 days 00:00:45.000000000, Doraville,, United States, 33.90280, -84.27436, Sphere,,,
47814,2013-06-03 07:03:00,2013-06-03 06:00:00,Viewing Distance 101-500 Feet,0 days 00:10:27.000000000, Michigan,, 44.32001, -85.60047,, Circle,,,
47815,2013-06-03 07:23:00,2013-06-02 05:20:00,"Viewing Distance Over 1 Mile, Unknown",0 days 00:02:00.000000000, Apex,, United States, 35.72777, -78.91623, Star-like,,,
47816,2013-06-03 08:22:00,2013-06-01 03:40:00,Viewing Distance Unknown,0 days 00:03:00.000000000, Sycamore,, United States, 41.98522, -88.68526, Circle,,,
47817,2013-06-03 08:25:00,2011-06-04 19:56:00,Viewing Distance Unknown,0 days 00:00:30.000000000, British Columbia,, 53.73282, -127.63964,, Cone,,,
47818,2013-06-03 08:53:00,2013-06-02 07:00:00,"Viewing Distance 501 Feet - 1 Mile, Unknown",, Redding,, United States, 40.58912, -122.39035,,,,
47819,2013-06-03 09:14:00,2013-06-02 07:00:00,Viewing Distance Over One Mile,, Vancouver,, United States, 45.63122, -122.64134,,,,
47820,2013-06-03 09:43:00,2013-06-02 03:30:00,Viewing Distance Unknown,0 days 00:01:40.000000000, Chandler,, United States, 33.21868, -111.82383, Sphere,,,
